1: Year: 1970, Month: 1, Number of Sales: 155, Revenue: 3817572.26
2: Year: 1970, Month: 2, Number of Sales: 152, Revenue: 4268720.76
3: Year: 1970, Month: 3, Number of Sales: 128, Revenue: 3022122.02
4: Year: 1970, Month: 4, Number of Sales: 151, Revenue: 3747412.42
5: Year: 1970, Month: 5, Number of Sales: 148, Revenue: 3838203.20
6: Year: 1970, Month: 6, Number of Sales: 159, Revenue: 4353013.76
7: Year: 1970, Month: 7, Number of Sales: 162, Revenue: 4440157.75
8: Year: 1970, Month: 8, Number of Sales: 168, Revenue: 4631337.55
9: Year: 1970, Month: 9, Number of Sales: 159, Revenue: 4110377.97
10: Year: 1970, Month: 10, Number of Sales: 159, Revenue: 4048969.20
11: Year: 1970, Month: 11, Number of Sales: 161, Revenue: 4250889.33
12: Year: 1970, Month: 12, Number of Sales: 136, Revenue: 3304957.68
13: Year: 1971, Month: 1, Number of Sales: 173, Revenue: 4374095.63
14: Year: 1971, Month: 2, Number of Sales: 144, Revenue: 3592182.53
15: Year: 1971, Month: 3, Number of Sales: 166, Revenue: 4166630.44
16: Year: 1971, Month: 4, Number of Sales: 139, Revenue: 3539780.52
17: Year: 1971, Month: 5, Number of Sales: 165, Revenue: 4009265.69
18: Year: 1971, Month: 6, Number of Sales: 127, Revenue: 3731012.27
19: Year: 1971, Month: 7, Number of Sales: 167, Revenue: 3989766.70
20: Year: 1971, Month: 8, Number of Sales: 159, Revenue: 4203782.89
21: Year: 1971, Month: 9, Number of Sales: 153, Revenue: 3604754.14
22: Year: 1971, Month: 10, Number of Sales: 152, Revenue: 3916490.84
23: Year: 1971, Month: 11, Number of Sales: 149, Revenue: 3803250.19
24: Year: 1971, Month: 12, Number of Sales: 161, Revenue: 4025008.58
25: Year: 1972, Month: 1, Number of Sales: 146, Revenue: 3580797.59
26: Year: 1972, Month: 2, Number of Sales: 131, Revenue: 3426017.62
27: Year: 1972, Month: 3, Number of Sales: 140, Revenue: 3885631.80
28: Year: 1972, Month: 4, Number of Sales: 144, Revenue: 3308089.71
29: Year: 1972, Month: 5, Number of Sales: 155, Revenue: 3971972.62
30: Year: 1972, Month: 6, Number of Sales: 136, Revenue: 3510273.28
31: Year: 1972, Month: 7, Number of Sales: 133, Revenue: 3454637.68
32: Year: 1972, Month: 8, Number of Sales: 178, Revenue: 4388254.52
33: Year: 1972, Month: 9, Number of Sales: 154, Revenue: 4133144.29
34: Year: 1972, Month: 10, Number of Sales: 140, Revenue: 3428076.37
35: Year: 1972, Month: 11, Number of Sales: 152, Revenue: 3848975.65
36: Year: 1972, Month: 12, Number of Sales: 145, Revenue: 3661533.60
37: Year: 1973, Month: 1, Number of Sales: 151, Revenue: 3994631.40
38: Year: 1973, Month: 2, Number of Sales: 156, Revenue: 4099929.84
39: Year: 1973, Month: 3, Number of Sales: 149, Revenue: 3711436.33
40: Year: 1973, Month: 4, Number of Sales: 127, Revenue: 3288452.49
41: Year: 1973, Month: 5, Number of Sales: 149, Revenue: 3989787.52
42: Year: 1973, Month: 6, Number of Sales: 176, Revenue: 4795165.24
43: Year: 1973, Month: 7, Number of Sales: 147, Revenue: 3860290.45
44: Year: 1973, Month: 8, Number of Sales: 147, Revenue: 3857926.43
45: Year: 1973, Month: 9, Number of Sales: 132, Revenue: 3094010.79
46: Year: 1973, Month: 10, Number of Sales: 140, Revenue: 3745875.19
47: Year: 1973, Month: 11, Number of Sales: 146, Revenue: 3845667.05
48: Year: 1973, Month: 12, Number of Sales: 138, Revenue: 3391458.27
49: Year: 1974, Month: 1, Number of Sales: 182, Revenue: 4555196.97
50: Year: 1974, Month: 2, Number of Sales: 116, Revenue: 3216807.57
51: Year: 1974, Month: 3, Number of Sales: 128, Revenue: 2850663.71
52: Year: 1974, Month: 4, Number of Sales: 134, Revenue: 3286861.72
53: Year: 1974, Month: 5, Number of Sales: 132, Revenue: 2842133.85
54: Year: 1974, Month: 6, Number of Sales: 179, Revenue: 4367271.54
55: Year: 1974, Month: 7, Number of Sales: 142, Revenue: 3374975.65
56: Year: 1974, Month: 8, Number of Sales: 160, Revenue: 3943239.70
57: Year: 1974, Month: 9, Number of Sales: 164, Revenue: 4144789.95
58: Year: 1974, Month: 10, Number of Sales: 168, Revenue: 4239337.03
59: Year: 1974, Month: 11, Number of Sales: 146, Revenue: 3589378.22
60: Year: 1974, Month: 12, Number of Sales: 159, Revenue: 3716121.63
61: Year: 1975, Month: 1, Number of Sales: 180, Revenue: 4672166.89
62: Year: 1975, Month: 2, Number of Sales: 132, Revenue: 3144901.47
63: Year: 1975, Month: 3, Number of Sales: 140, Revenue: 3602912.33
64: Year: 1975, Month: 4, Number of Sales: 173, Revenue: 4723641.63
65: Year: 1975, Month: 5, Number of Sales: 160, Revenue: 3937500.85
66: Year: 1975, Month: 6, Number of Sales: 167, Revenue: 4378345.41
67: Year: 1975, Month: 7, Number of Sales: 146, Revenue: 4104425.63
68: Year: 1975, Month: 8, Number of Sales: 157, Revenue: 4317934.98
69: Year: 1975, Month: 9, Number of Sales: 142, Revenue: 3603835.55
70: Year: 1975, Month: 10, Number of Sales: 152, Revenue: 3772684.83
71: Year: 1975, Month: 11, Number of Sales: 130, Revenue: 3058388.81
72: Year: 1975, Month: 12, Number of Sales: 145, Revenue: 4061066.90
73: Year: 1976, Month: 1, Number of Sales: 153, Revenue: 3631111.58
74: Year: 1976, Month: 2, Number of Sales: 147, Revenue: 3969426.93
75: Year: 1976, Month: 3, Number of Sales: 128, Revenue: 3616660.49
76: Year: 1976, Month: 4, Number of Sales: 154, Revenue: 3773017.83
77: Year: 1976, Month: 5, Number of Sales: 168, Revenue: 3972410.36
78: Year: 1976, Month: 6, Number of Sales: 142, Revenue: 3369273.12
79: Year: 1976, Month: 7, Number of Sales: 143, Revenue: 3872830.42
80: Year: 1976, Month: 8, Number of Sales: 162, Revenue: 4487201.91
81: Year: 1976, Month: 9, Number of Sales: 168, Revenue: 4476010.21
82: Year: 1976, Month: 10, Number of Sales: 161, Revenue: 4341324.57
83: Year: 1976, Month: 11, Number of Sales: 161, Revenue: 4165963.85
84: Year: 1976, Month: 12, Number of Sales: 160, Revenue: 4172730.48
85: Year: 1977, Month: 1, Number of Sales: 141, Revenue: 3678595.82
86: Year: 1977, Month: 2, Number of Sales: 141, Revenue: 3647514.06
87: Year: 1977, Month: 3, Number of Sales: 155, Revenue: 4010693.71
88: Year: 1977, Month: 4, Number of Sales: 159, Revenue: 4084451.22
89: Year: 1977, Month: 5, Number of Sales: 150, Revenue: 3680347.55
90: Year: 1977, Month: 6, Number of Sales: 149, Revenue: 3552942.00
91: Year: 1977, Month: 7, Number of Sales: 166, Revenue: 4394945.24
92: Year: 1977, Month: 8, Number of Sales: 171, Revenue: 3929203.06
93: Year: 1977, Month: 9, Number of Sales: 157, Revenue: 4111346.25
94: Year: 1977, Month: 10, Number of Sales: 158, Revenue: 4508992.13
95: Year: 1977, Month: 11, Number of Sales: 147, Revenue: 4033354.18
96: Year: 1977, Month: 12, Number of Sales: 168, Revenue: 4062705.67
97: Year: 1978, Month: 1, Number of Sales: 187, Revenue: 5223239.38
98: Year: 1978, Month: 2, Number of Sales: 141, Revenue: 3703685.86
99: Year: 1978, Month: 3, Number of Sales: 151, Revenue: 4190980.89
100: Year: 1978, Month: 4, Number of Sales: 142, Revenue: 3756820.76
101: Year: 1978, Month: 5, Number of Sales: 160, Revenue: 4317058.59
102: Year: 1978, Month: 6, Number of Sales: 149, Revenue: 4081300.87
103: Year: 1978, Month: 7, Number of Sales: 163, Revenue: 4196737.04
104: Year: 1978, Month: 8, Number of Sales: 176, Revenue: 4582877.19
105: Year: 1978, Month: 9, Number of Sales: 148, Revenue: 4290352.21
106: Year: 1978, Month: 10, Number of Sales: 188, Revenue: 5195538.97
107: Year: 1978, Month: 11, Number of Sales: 144, Revenue: 3749924.37
108: Year: 1978, Month: 12, Number of Sales: 146, Revenue: 3632701.78
109: Year: 1979, Month: 1, Number of Sales: 155, Revenue: 3824340.80
110: Year: 1979, Month: 2, Number of Sales: 132, Revenue: 3752739.97
111: Year: 1979, Month: 3, Number of Sales: 153, Revenue: 3757695.68
112: Year: 1979, Month: 4, Number of Sales: 123, Revenue: 3079763.21
113: Year: 1979, Month: 5, Number of Sales: 152, Revenue: 4136509.88
114: Year: 1979, Month: 6, Number of Sales: 155, Revenue: 4622805.78
115: Year: 1979, Month: 7, Number of Sales: 143, Revenue: 3808601.53
116: Year: 1979, Month: 8, Number of Sales: 157, Revenue: 4566089.39
117: Year: 1979, Month: 9, Number of Sales: 159, Revenue: 3980189.38
118: Year: 1979, Month: 10, Number of Sales: 169, Revenue: 4553391.90
119: Year: 1979, Month: 11, Number of Sales: 148, Revenue: 4090214.54
120: Year: 1979, Month: 12, Number of Sales: 155, Revenue: 4158427.92
121: Year: 1980, Month: 1, Number of Sales: 172, Revenue: 3966130.45
122: Year: 1980, Month: 2, Number of Sales: 147, Revenue: 3815796.16
123: Year: 1980, Month: 3, Number of Sales: 159, Revenue: 3940754.07
124: Year: 1980, Month: 4, Number of Sales: 148, Revenue: 3874261.95
125: Year: 1980, Month: 5, Number of Sales: 155, Revenue: 4099896.83
126: Year: 1980, Month: 6, Number of Sales: 152, Revenue: 3749691.32
127: Year: 1980, Month: 7, Number of Sales: 160, Revenue: 4239202.15
128: Year: 1980, Month: 8, Number of Sales: 162, Revenue: 4084898.00
129: Year: 1980, Month: 9, Number of Sales: 138, Revenue: 3542803.45
130: Year: 1980, Month: 10, Number of Sales: 163, Revenue: 4363509.79
131: Year: 1980, Month: 11, Number of Sales: 138, Revenue: 4021256.47
132: Year: 1980, Month: 12, Number of Sales: 164, Revenue: 4363275.57
133: Year: 1981, Month: 1, Number of Sales: 146, Revenue: 3460974.04
134: Year: 1981, Month: 2, Number of Sales: 150, Revenue: 4092311.69
135: Year: 1981, Month: 3, Number of Sales: 154, Revenue: 3834081.11
136: Year: 1981, Month: 4, Number of Sales: 165, Revenue: 4602075.23
137: Year: 1981, Month: 5, Number of Sales: 152, Revenue: 4227589.81
138: Year: 1981, Month: 6, Number of Sales: 150, Revenue: 3704011.20
139: Year: 1981, Month: 7, Number of Sales: 155, Revenue: 4297233.80
140: Year: 1981, Month: 8, Number of Sales: 151, Revenue: 3431859.00
141: Year: 1981, Month: 9, Number of Sales: 156, Revenue: 3830592.15
142: Year: 1981, Month: 10, Number of Sales: 155, Revenue: 4238708.75
143: Year: 1981, Month: 11, Number of Sales: 146, Revenue: 3668342.73
144: Year: 1981, Month: 12, Number of Sales: 156, Revenue: 4678600.43
145: Year: 1982, Month: 1, Number of Sales: 172, Revenue: 4342558.05
146: Year: 1982, Month: 2, Number of Sales: 146, Revenue: 3313012.70
147: Year: 1982, Month: 3, Number of Sales: 152, Revenue: 3680543.75
148: Year: 1982, Month: 4, Number of Sales: 128, Revenue: 2936043.19
149: Year: 1982, Month: 5, Number of Sales: 173, Revenue: 4238195.28
150: Year: 1982, Month: 6, Number of Sales: 148, Revenue: 3830522.77
151: Year: 1982, Month: 7, Number of Sales: 163, Revenue: 3558004.17
152: Year: 1982, Month: 8, Number of Sales: 175, Revenue: 4072702.41
153: Year: 1982, Month: 9, Number of Sales: 164, Revenue: 3650407.29
154: Year: 1982, Month: 10, Number of Sales: 141, Revenue: 3954758.20
155: Year: 1982, Month: 11, Number of Sales: 150, Revenue: 3950083.57
156: Year: 1982, Month: 12, Number of Sales: 161, Revenue: 3418087.82
157: Year: 1983, Month: 1, Number of Sales: 157, Revenue: 4172569.77
158: Year: 1983, Month: 2, Number of Sales: 143, Revenue: 3294614.88
159: Year: 1983, Month: 3, Number of Sales: 159, Revenue: 3393485.16
160: Year: 1983, Month: 4, Number of Sales: 148, Revenue: 3918373.25
161: Year: 1983, Month: 5, Number of Sales: 161, Revenue: 4285481.93
162: Year: 1983, Month: 6, Number of Sales: 146, Revenue: 3765781.40
163: Year: 1983, Month: 7, Number of Sales: 159, Revenue: 4153257.09
164: Year: 1983, Month: 8, Number of Sales: 159, Revenue: 4028662.54
